source_id,receiving_entity,publication_title,publication_type,covers_fiscal_year,official_source_url,retrieved_utc,physical_page_count,source_sha256,source_bytes,source_pdf,published_data_rows_from_this_source
american-canyon-fire-protection-district-2023-24-2024-25,American Canyon Fire Protection District,American Canyon Fire Protection District AB 1600 Development Impact Fee Annual Report: Combined Report for Fiscal Years 2023-2024 and 2024-2025,annual_fee_report_66006,2023-24; 2024-25,https://www.amcanfire.ca.gov/files/assets/fire/v/2/business/combined_ab1600_report_fy23-24_and_fy24-25.pdf,2026-09-14T22:38:54.782794+00:00,5,1bcc08b66ed5afc742359be2fe5654bc647c6adcfe9a30cac63a392f7e6202ce,200752,sources/american-canyon-fire-protection-district-2023-24-2024-25.pdf,4
antioch-unified-2023-24,Antioch Unified,"Antioch Unified impact fee report, fiscal year 2023-24",annual_fee_report_66006,2023-24,https://go.boarddocs.com/ca/ausd/Board.nsf/files/DA3LDF560B48/%24file/2023-24%20Annual%20Developer%20Fees%20Report%2010.15.24.pdf,2026-09-14T22:49:15.851196+00:00,3,b9079d9b81766afbec0f1add2b2dfd01ae44e614d56f03dabc603b3bf581591d,393372,sources/antioch-unified-2023-24.pdf,2
baldwin-park-unified-2020-21-35c2c159,Baldwin Park Unified,Combined Annual and Five Year Developer Fees Report,combined_annual_and_five_year,2020-21,https://4.files.edl.io/6f9e/12/09/21/181452-dec7a95b-fde3-4d41-8955-e1e75fc9d48d.pdf,2026-09-24T08:34:35.493433+00:00,3,35c2c15908db3b6134991463ccd980366dcaafbe7c732a29b08ceb9bb1c6fcfe,331673,sources/baldwin-park-unified-2020-21-35c2c159.pdf,1
banning-unified-2015-16-f0d60336,Banning Unified,2015-2016 Annual and Five Year Report (12/8/2016 5:30 PM),combined_annual_and_five_year,2015-16,https://agendaonline.net/Public/Meeting/Attachments/DisplayAttachment.aspx?AttachmentID=664189&IsArchive=1,2026-09-24T20:23:48.087078+00:00,7,f0d60336a0f021e4a7801eb2f3c5848cbb219e7b21fd0c5420017e08feadb099,202494,sources/banning-unified-2015-16-f0d60336.pdf,1
banning-unified-2016-17-18a5ea81,Banning Unified,Annual and Five Year Report 2016-2017 (12/7/2017 5:30 PM),combined_annual_and_five_year,2016-17,https://agendaonline.net/Public/Meeting/Attachments/DisplayAttachment.aspx?AttachmentID=663449&IsArchive=1,2026-09-24T20:23:47.101999+00:00,7,18a5ea8196e1d41fc5f5fbcdbaaafec7d9f2e39c10021b6d571f54e1114188a9,179015,sources/banning-unified-2016-17-18a5ea81.pdf,1
beaumont-unified-2024-25,Beaumont Unified,"Beaumont Unified impact fee report, fiscal year 2024-25",five_year_findings_66001,2024-25,https://4.files.edl.io/30af/11/03/25/154249-c71bc903-3d54-4e02-a598-a928878cac64.pdf,2026-09-15T21:22:04.984408+00:00,8,a1c9e11036ad6f97c163eef590d0fa48ff39158ad6e7d7cda94f89c006e352e8,439356,sources/beaumont-unified-2024-25.pdf,2
blochman-union-elementary-2023-24-0d47c0f7,Blochman Union Elementary,2023-2024 Developer Fee Report,combined_annual_and_five_year,2023-24,http://blochmanusd.org/wp-content/uploads/District/Facilities-Develop%20Fees/23-24%20Dev%20Fee%20Report.pdf,2026-09-24T23:37:13.116128+00:00,5,0d47c0f7318da56dfbb7af02bba96e5574e9acb9f39b2eec547e026b72f09491,172684,sources/blochman-union-elementary-2023-24-0d47c0f7.pdf,1
combined-filing-3476ee5f6f57,CAMERON PARK COMMUNITY SERVICE DISTRICT,"CAMERON PARK COMMUNITY SERVICE DISTRICT impact fee report, fiscal year 2024-25",annual_fee_report_66006,2024-25,https://www.eldoradocounty.ca.gov/files/assets/county/v/1/documents/land-use/planning-amp-zoning/impact-fee/a-consolidated-reports-fy-2024-25.pdf,2026-09-14T22:46:55.995438+00:00,83,3476ee5f6f570e26316a2954004648e09a40f46996c364ef8b6a4d7dc9041be9,2969354,sources/combined-filing-3476ee5f6f57.pdf,3
costa-mesa-sanitary-district-2017-18,COSTA MESA SANITARY DISTRICT,"COSTA MESA SANITARY DISTRICT impact fee report, fiscal year 2017-18",annual_fee_report_66006,2017-18,https://cms9files.revize.com/cmsd/Document_Center/Who%20We%20Are/Transparency/Capacity%20charges/annual_compliance_report_capacity_charges_fy17_18.pdf,2026-09-15T10:30:49.584568+00:00,2,f4e9978ec56cfe6abba60e96e995ffb0240cc082ba3714f59da0bd9090370e13,149847,sources/costa-mesa-sanitary-district-2017-18.pdf,2
camrosa-water-district-2024-25-c9572857,Camrosa Water District,"Camrosa Water District annual development impact fee report, fiscal year 2024-25",annual_fee_report_66006,2024-25,https://www.camrosa.com/wp-content/uploads/2025/12/CWD-Annual-DIF-Report-FY-2025-Final.pdf,2026-09-25T05:06:04.163432+00:00,7,c95728576e3f054c652cf6898774bb395c36cb5c3f07e65f2e808924c81db2cc,166636,sources/camrosa-water-district-2024-25-c9572857.pdf,2
